5 1 11 1
    1   0.6263338154589970E-03   0.3141592653589793E+01   0.0000000000000000E+00  0  0  0  0  0  0  0  0
    2   0.6497476875291102E-04   0.5710685516146226E+01   0.7281705457745186E+03  0  0  0  0  2 -2  0  0
    3   0.2344587498942920E-04   0.7120466402448569E+00   0.1092255818661778E+04  0  0  0  0  3 -3  0  0
    4   0.1460129617898124E-04   0.4426139084868009E+01   0.3640852728872593E+03  0  0  0  0  1 -1  0  0
    5   0.9207121596242679E-05   0.5198036938148699E+01   0.3305015501867192E+03  0  0  0  1 -1  0  0  0
    6   0.8875319141540999E-05   0.1996593071523072E+01   0.1456341091549037E+04  0  0  0  0  4 -4  0  0
    7   0.8448119776705509E-05   0.3455872944043167E+01   0.5842554323532455E+03  0  0  0  0  2 -3  0  0
    8   0.5977877370825760E-05   0.2159362918305770E+01   0.7076546088833486E+03  0  0  1  0 -1  0  0  0
    9   0.4621278522602440E-05   0.4112888569117812E+01   0.6610031003734383E+03  0  0  0  2 -2  0  0  0
   10   0.4000365153622274E-05   0.4740419375321384E+01   0.9483407052405049E+03  0  0  0  0  3 -4  0  0
   11   0.3452681160707960E-05   0.3281139502801291E+01   0.1820426364436296E+04  0  0  0  0  5 -5  0  0
