1 4 32 29
    1   0.1188963618162444E-01   0.4087787867376310E+01  -0.6371881689831457E+01 -1  0  2  0  0  0  0  0
    2   0.5317666807877856E-02   0.2598489137723283E+00  -0.6460927066720098E+01 -1  0  2  0  0  0  0  0
    3   0.5301694964646620E-02   0.4774134167390498E+01  -0.6282836312942816E+01 -1  0  2  0  0  0  0  0
    4   0.1092196251660480E-02   0.2715095267347932E+01  -0.6549972443608739E+01 -1  0  2  0  0  0  0  0
    5   0.1074089419341231E-02   0.5460480467404687E+01  -0.6193790936054175E+01 -1  0  2  0  0  0  0  0
    6   0.2328430197381575E-03   0.6146826767418875E+01  -0.6104745559165536E+01 -1  0  2  0  0  0  0  0
    7   0.2224213393203463E-03   0.5170341620923537E+01  -0.6639017820497378E+01 -1  0  2  0  0  0  0  0
    8   0.5463249591300440E-04   0.5479818404776600E+01  -0.6314228308154381E+01 -1  0  2  0  0  0  0  0
    9   0.5206791451508880E-04   0.5499877602534791E+00  -0.6015700182276895E+01 -1  0  2  0  0  0  0  0
   10   0.5011145194424460E-04   0.1342402667319555E+01  -0.6728063197386019E+01 -1  0  2  0  0  0  0  0
   11   0.4248311992240600E-04   0.9268572764146046E+00  -0.6251444317731250E+01 -1  0  2  0  0  0  0  0
   12   0.3275262890701040E-04   0.5837349983565814E+01  -0.6429535071508532E+01 -1  0  2  0  0  0  0  0
   13   0.2612362501347000E-04   0.2405109764004165E+00  -0.6340489694619891E+01 -1  0  2  0  0  0  0  0
   14   0.2254194030722800E-04   0.4107125804748224E+01  -0.6492319061931663E+01 -1  0  2  0  0  0  0  0
   15   0.1978445332406060E-04   0.5019691662617644E+01  -0.1656953473338440E+02 -1  0  2  0  0  0  0  0
   16   0.1876210282323130E-04   0.2009411029961832E+01  -0.6518580448397173E+01 -1  0  2  0  0  0  0  0
   17   0.1838941226078010E-04   0.6166164704790789E+01  -0.6225182931265740E+01 -1  0  2  0  0  0  0  0
   18   0.1417196313981720E-04   0.4793472104762412E+01  -0.6403273685043022E+01 -1  0  2  0  0  0  0  0
   19   0.1412387702084000E-04   0.1613203576428794E+01  -0.6162398940842610E+01 -1  0  2  0  0  0  0  0
   20   0.1200955094991380E-04   0.2791868511442401E+00  -0.6581364438820303E+01 -1  0  2  0  0  0  0  0
   21   0.1141748624638240E-04   0.7006377185593701E+00   0.3914816730610132E+01 -1  0  2  0  0  0  0  0
   22   0.1140613650769890E-04   0.2469537772120787E+01   0.3736725976832851E+01 -1  0  2  0  0  0  0  0
   23   0.1139717898986310E-04   0.1236334060267667E+01  -0.5926654805388254E+01 -1  0  2  0  0  0  0  0
   24   0.1083732897435760E-04   0.3797649020895159E+01  -0.6817108574274660E+01 -1  0  2  0  0  0  0  0
   25   0.8188197469152401E-05   0.1429141854518208E-01   0.3825771353721492E+01 -1  0  2  0  0  0  0  0
   26   0.6138904676788960E-05   0.4464657383537437E+01  -0.6607625825285813E+01 -1  0  2  0  0  0  0  0
   27   0.5339008498818640E-05   0.4924784125696391E+01   0.3647680599944211E+01 -1  0  2  0  0  0  0  0
   28   0.5211706783516070E-05   0.1386984018573560E+01   0.4003862107498773E+01 -1  0  2  0  0  0  0  0
   29   0.5186530053942100E-05   0.5693256976253909E+00  -0.6136137554377100E+01 -1  0  2  0  0  0  0  0
   30   0.1477125534949241E-04   0.2559894425015774E+01   0.4876660474564782E+04  3  0 -2  0  0  0  0  0
   31   0.6813829579894155E-05   0.1873548125001586E+01   0.4876571429187893E+04  3  0 -2  0  0  0  0  0
   32   0.6707536779238787E-05   0.1046480714401697E+00   0.4876749519941671E+04  3  0 -2  0  0  0  0  0
