7 1 109
  -0.1574686065780747E-02
   0.5269198501828300E-02   0.1803677252541800E+01   0.9810539955099672E-02
  -0.9447929974549504E-03   0.1379026805952163E+01   0.9873376502713178E-01
  -0.6016015548174626E-03   0.5858534860589942E+01   0.8892322507203211E-01
   0.5148150044366294E-03   0.3182704058493963E+01   0.1085443049822315E+00
  -0.1309800881858535E-03   0.1281528868939203E+01   0.1072766731000612E-01
   0.1186076675279319E-03   0.2325825636144398E+01   0.8893412600193221E-02
  -0.7587557241443920E-04   0.4054857608048142E+01   0.7911268511693244E-01
  -0.4394073687298339E-04   0.4986381311035763E+01   0.1183548449373311E+00
  -0.2986485373026291E-04   0.5411031757625401E+01   0.2943161986529901E-01
   0.2422130320267833E-04   0.3607354505083601E+01   0.1962107991019934E-01
   0.1721156885182891E-04   0.9749793701295940E-01   0.8800609771712566E-01
  -0.1338883184199104E-04   0.5336386476987345E+01   0.8984035242693857E-01
  -0.1302898520468604E-04   0.2660555674891366E+01   0.1094614323371379E+00
   0.1289973076525889E-04   0.1160724111900345E+01   0.9924156005528160E-02
  -0.1276260623147002E-04   0.2446630393183256E+01   0.9696923904671184E-02
  -0.1206158887296372E-04   0.1901175189554760E+01   0.9781663767222532E-01
   0.1012836012521588E-04   0.3704852442096560E+01   0.1076271776273250E+00
  -0.9589777592386616E-05   0.5761036923576983E+01   0.9171273549064512E-03
   0.7719706043802130E-05   0.2251180355506342E+01   0.6930214516183278E-01
  -0.5031578459421872E-05   0.5068732563979834E+00   0.1281653848924308E+00
  -0.4727461773298300E-05   0.2767316284539162E+01   0.1136827010127225E-01
  -0.4490169397561938E-05   0.4080979669446074E+01   0.9899519638809918E-02
   0.4445857119863126E-05   0.5809560142817107E+01   0.9721560271389426E-02
   0.3929644136581539E-05   0.8400382205444394E+00   0.8252809808927092E-02
   0.3847298333647876E-05   0.4577005991650739E+01   0.7819555776202598E-01
  -0.3502084178980730E-05   0.3532709224445545E+01   0.8002981247183889E-01
   0.2811429184555117E-05   0.7593804853366057E+00   0.1164479466491257E-01
   0.2625536042038141E-05   0.8568784223495651E+00   0.9965089238203824E-01
   0.2165574780684495E-05   0.4888883374022804E+01   0.3034874722020547E-01
   0.2190398167707681E-05   0.4464232927433166E+01   0.1192719722922376E+00
  -0.2173672397129618E-05   0.5933180141227998E+01   0.2851449251039256E-01
  -0.2086152830538867E-05   0.5508529694638360E+01   0.1174377175824247E+00
   0.1758820758802031E-05   0.5166607002175651E+01   0.9835176321817914E-02
  -0.1729303956187257E-05   0.4723932810087529E+01   0.9785903588381428E-02
   0.1628729863936739E-05   0.4475031029645411E+00   0.5949160520673310E-01
  -0.1424540056085036E-05   0.2183026940518178E+00   0.8880960902160362E-01
   0.1386736928659767E-05   0.5215581719948487E+01   0.8903684112246060E-01
   0.1373772890937228E-05   0.2539750917852507E+01   0.1086579210326600E+00
  -0.1342309573473890E-05   0.3825657199135419E+01   0.1084306889318030E+00
   0.9845757121969750E-03   0.2758053611904325E+01   0.1974675300542636E+00
   0.5722146672387600E-03   0.4137080417856488E+01   0.2962012950813954E+00
   0.3064232824160758E-03   0.5516107223808650E+01   0.3949350601085272E+00
   0.2328679324996273E-03   0.6119487225812321E+00   0.4936688251356589E+00
   0.1830222466848013E-03   0.1990975528533395E+01   0.5924025901627907E+00
   0.1428121183641368E-03   0.3370002334485558E+01   0.6911363551899224E+00
   0.1030589558021878E-03   0.4749029140437719E+01   0.7898701202170543E+00
   0.9162128151198170E-04   0.2333403165314687E+01   0.2863907551262957E+00
   0.8420360344777332E-04   0.3712429971266850E+01   0.3851245201534275E+00
   0.7477636779983881E-04   0.6128055946389881E+01   0.8886038852441861E+00
   0.6245968777723361E-04   0.5091456777219012E+01   0.4838582851805592E+00
  -0.5925277975412419E-04   0.5940757670398288E+01   0.3060118350364951E+00
  -0.5866195836719566E-04   0.3280201995506922E+01   0.1965504026993571E+00
  -0.5838551971068579E-04   0.1036599169170870E+01   0.4047456000636268E+00
   0.5517120904542451E-04   0.1223897445162464E+01   0.9873376502713178E+00
   0.5291804011662172E-04   0.1872982759915942E+00   0.5825920502076911E+00
   0.4785477163890776E-04   0.1566325081943758E+01   0.6813258152348228E+00
